onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id,divs_pq
0.0,0.25,0.0,0.25,0,8,48,1,n3,32
0.0,1.0,0.0,1.0,0,32,64,1,n1,32
0.0,1.0,0.0,1.0,0,32,67,1,n2,32
0.0,1.0,0.0,1.0,0,32,72,1,n4,32
0.25,0.25,0.25,0.25,8,8,60,1,n5,32
0.5,0.25,0.5,0.25,16,8,59,1,n6,32
0.75,0.25,0.75,0.25,24,8,60,1,n7,32
1.0,0.5,1.0,0.5,32,16,48,1,n8,32
1.5,0.25,1.5,0.25,48,8,72,1,n9,32
1.75,0.25,1.75,0.25,56,8,71,1,n10,32
2.0,0.25,2.0,0.25,64,8,74,1,n11,32
2.25,0.25,2.25,0.25,72,8,72,1,n12,32
2.5,0.25,2.5,0.25,80,8,76,1,n13,32
2.75,0.25,2.75,0.25,88,8,74,1,n14,32
3.0,0.25,3.0,0.25,96,8,77,1,n15,32
3.25,0.25,3.25,0.25,104,8,76,1,n16,32
3.5,0.25,3.5,0.25,112,8,79,1,n17,32
3.75,0.25,3.75,0.25,120,8,77,1,n18,32
4.0,1.0,4.0,1.0,128,32,41,1,n21,32
4.0,1.0,4.0,1.0,128,32,53,1,n23,32
4.0,1.0,4.0,1.0,128,32,69,1,n19,32
4.0,1.0,4.0,1.0,128,32,74,1,n20,32
4.0,1.0,4.0,1.0,128,32,77,1,n22,32
4.0,1.0,4.0,1.0,128,32,81,1,n24,32
5.0,0.25,5.0,0.25,160,8,79,1,n25,32
5.25,0.25,5.25,0.25,168,8,77,1,n26,32
5.5,0.25,5.5,0.25,176,8,76,1,n27,32
5.75,0.25,5.75,0.25,184,8,74,1,n28,32
6.0,0.25,6.0,0.25,192,8,72,1,n29,32
6.25,0.25,6.25,0.25,200,8,71,1,n32,32
6.5,0.5,6.5,0.5,208,16,52,1,n33,32
6.5,0.25,6.5,0.25,208,8,72,1,n34,32
6.75,0.25,6.75,0.25,216,8,76,1,n35,32
7.0,0.5,7.0,0.5,224,16,53,1,n37,32
7.0,0.25,7.0,0.25,224,8,74,1,n36,32
7.25,0.25,7.25,0.25,232,8,77,1,n38,32
7.5,0.5,7.5,0.5,240,16,55,1,n39,32
7.5,0.25,7.5,0.25,240,8,71,1,n40,32
7.75,0.25,7.75,0.25,248,8,74,1,n41,32
8.0,0.25,8.0,0.25,256,8,48,1,n43,32
8.0,1.0,8.0,1.0,256,32,64,1,n42,32
8.0,1.0,8.0,1.0,256,32,67,1,n44,32
8.0,1.0,8.0,1.0,256,32,72,1,n45,32
8.25,0.25,8.25,0.25,264,8,60,1,n46,32
8.5,0.25,8.5,0.25,272,8,59,1,n47,32
8.75,0.25,8.75,0.25,280,8,60,1,n48,32
9.0,0.5,9.0,0.5,288,16,48,1,n49,32
9.5,0.25,9.5,0.25,304,8,72,1,n51,32
9.75,0.25,9.75,0.25,312,8,71,1,n52,32
10.0,0.25,10.0,0.25,320,8,74,1,n53,32
10.25,0.25,10.25,0.25,328,8,72,1,n54,32
10.5,0.25,10.5,0.25,336,8,76,1,n55,32
10.75,0.25,10.75,0.25,344,8,74,1,n56,32
11.0,0.25,11.0,0.25,352,8,77,1,n57,32
11.25,0.25,11.25,0.25,360,8,76,1,n58,32
11.5,0.25,11.5,0.25,368,8,79,1,n59,32
11.75,0.25,11.75,0.25,376,8,77,1,n60,32
12.0,1.0,12.0,1.0,384,32,41,1,n65,32
12.0,1.0,12.0,1.0,384,32,53,1,n66,32
12.0,1.0,12.0,1.0,384,32,69,1,n61,32
12.0,1.0,12.0,1.0,384,32,74,1,n62,32
12.0,1.0,12.0,1.0,384,32,77,1,n63,32
12.0,1.0,12.0,1.0,384,32,81,1,n64,32
13.0,0.25,13.0,0.25,416,8,79,1,n67,32
13.25,0.25,13.25,0.25,424,8,77,1,n68,32
13.5,0.25,13.5,0.25,432,8,76,1,n69,32
13.75,0.25,13.75,0.25,440,8,74,1,n70,32
14.0,0.25,14.0,0.25,448,8,72,1,n71,32
14.25,0.25,14.25,0.25,456,8,71,1,n74,32
14.5,0.5,14.5,0.5,464,16,52,1,n76,32
14.5,0.25,14.5,0.25,464,8,72,1,n75,32
14.75,0.25,14.75,0.25,472,8,76,1,n77,32
15.0,0.5,15.0,0.5,480,16,53,1,n79,32
15.0,0.25,15.0,0.25,480,8,74,1,n78,32
15.25,0.25,15.25,0.25,488,8,77,1,n80,32
15.5,0.5,15.5,0.5,496,16,55,1,n82,32
15.5,0.25,15.5,0.25,496,8,71,1,n81,32
15.75,0.25,15.75,0.25,504,8,74,1,n83,32
16.0,0.25,16.0,0.25,512,8,60,1,n84,32
16.0,0.5,16.0,0.5,512,16,72,1,n85,32
16.25,0.25,16.25,0.25,520,8,67,1,n86,32
16.5,0.25,16.5,0.25,528,8,64,1,n87,32
16.5,0.25,16.5,0.25,528,8,72,1,n89,32
16.5,0.0,16.5,0.0,528,0,74,1,n88,32
16.75,0.25,16.75,0.25,536,8,67,1,n90,32
16.75,0.25,16.75,0.25,536,8,71,1,n91,32
17.0,0.25,17.0,0.25,544,8,60,1,n93,32
17.0,0.5,17.0,0.5,544,16,72,1,n92,32
17.25,0.25,17.25,0.25,552,8,67,1,n94,32
17.5,0.25,17.5,0.25,560,8,64,1,n96,32
17.5,0.5,17.5,0.5,560,16,76,1,n95,32
17.75,0.25,17.75,0.25,568,8,67,1,n97,32
18.0,0.25,18.0,0.25,576,8,59,1,n99,32
18.0,1.0,18.0,1.0,576,32,73,1,n98,32
18.25,0.25,18.25,0.25,584,8,67,1,n100,32
18.5,0.25,18.5,0.25,592,8,62,1,n101,32
18.75,0.25,18.75,0.25,600,8,67,1,n102,32
19.0,0.25,19.0,0.25,608,8,59,1,n104,32
19.0,0.5,19.0,0.5,608,16,74,1,n103,32
19.25,0.25,19.25,0.25,616,8,67,1,n105,32
19.5,0.25,19.5,0.25,624,8,62,1,n106,32
19.75,0.25,19.75,0.25,632,8,67,1,n107,32
20.0,0.25,20.0,0.25,640,8,59,1,n108,32
20.25,0.25,20.25,0.25,648,8,67,1,n109,32
20.5,0.25,20.5,0.25,656,8,62,1,n111,32
20.5,0.25,20.5,0.25,656,8,74,1,n112,32
20.5,0.0,20.5,0.0,656,0,76,1,n110,32
20.75,0.25,20.75,0.25,664,8,67,1,n114,32
20.75,0.25,20.75,0.25,664,8,73,1,n113,32
21.0,0.25,21.0,0.25,672,8,59,1,n116,32
21.0,0.5,21.0,0.5,672,16,74,1,n115,32
21.25,0.25,21.25,0.25,680,8,67,1,n117,32
21.5,0.25,21.5,0.25,688,8,62,1,n119,32
21.5,0.5,21.5,0.5,688,16,77,1,n118,32
21.75,0.25,21.75,0.25,696,8,67,1,n120,32
22.0,0.25,22.0,0.25,704,8,60,1,n122,32
22.0,1.0,22.0,1.0,704,32,75,1,n121,32
22.25,0.25,22.25,0.25,712,8,67,1,n123,32
22.5,0.25,22.5,0.25,720,8,64,1,n124,32
22.75,0.25,22.75,0.25,728,8,67,1,n125,32
23.0,0.25,23.0,0.25,736,8,60,1,n127,32
23.0,0.5,23.0,0.5,736,16,76,1,n126,32
23.25,0.25,23.25,0.25,744,8,67,1,n128,32
23.5,0.25,23.5,0.25,752,8,64,1,n129,32
23.75,0.25,23.75,0.25,760,8,67,1,n130,32
24.0,0.25,24.0,0.25,768,8,60,1,n131,32
24.25,0.25,24.25,0.25,776,8,67,1,n132,32
24.5,0.25,24.5,0.25,784,8,64,1,n134,32
24.5,0.5,24.5,0.5,784,16,79,1,n135,32
24.75,0.25,24.75,0.25,792,8,67,1,n136,32
25.0,0.25,25.0,0.25,800,8,60,1,n139,32
25.0,0.5,25.0,0.5,800,16,84,1,n140,32
25.25,0.25,25.25,0.25,808,8,67,1,n141,32
25.5,0.25,25.5,0.25,816,8,64,1,n142,32
25.5,0.5,25.5,0.5,816,16,82,1,n143,32
25.75,0.25,25.75,0.25,824,8,67,1,n144,32
26.0,0.25,26.0,0.25,832,8,60,1,n146,32
26.0,1.0,26.0,1.0,832,32,80,1,n145,32
26.25,0.25,26.25,0.25,840,8,69,1,n147,32
26.5,0.25,26.5,0.25,848,8,65,1,n148,32
26.75,0.25,26.75,0.25,856,8,69,1,n149,32
27.0,0.25,27.0,0.25,864,8,60,1,n151,32
27.0,0.5,27.0,0.5,864,16,81,1,n150,32
27.25,0.25,27.25,0.25,872,8,69,1,n152,32
27.5,0.25,27.5,0.25,880,8,65,1,n153,32
27.75,0.25,27.75,0.25,888,8,69,1,n154,32
28.0,0.25,28.0,0.25,896,8,60,1,n156,32
28.0,0.0,28.0,0.0,896,0,81,1,n155,32
28.0,0.0,28.0,0.0,896,0,83,1,n157,32
28.0,1.0,28.0,1.0,896,32,84,1,n159,32
28.25,0.25,28.25,0.25,904,8,69,1,n158,32
28.5,0.25,28.5,0.25,912,8,65,1,n160,32
28.75,0.25,28.75,0.25,920,8,69,1,n161,32
29.0,0.25,29.0,0.25,928,8,60,1,n163,32
29.0,0.25,29.0,0.25,928,8,83,1,n162,32
29.25,0.25,29.25,0.25,936,8,69,1,n165,32
29.25,0.25,29.25,0.25,936,8,81,1,n164,32
29.5,0.25,29.5,0.25,944,8,65,1,n167,32
29.5,0.25,29.5,0.25,944,8,79,1,n166,32
29.75,0.25,29.75,0.25,952,8,69,1,n169,32
29.75,0.25,29.75,0.25,952,8,77,1,n168,32
30.0,0.25,30.0,0.25,960,8,60,1,n171,32
30.0,1.0,30.0,1.0,960,32,78,1,n170,32
30.25,0.25,30.25,0.25,968,8,67,1,n172,32
30.5,0.25,30.5,0.25,976,8,64,1,n173,32
30.75,0.25,30.75,0.25,984,8,67,1,n174,32
31.0,0.25,31.0,0.25,992,8,60,1,n176,32
31.0,0.5,31.0,0.5,992,16,79,1,n175,32
31.25,0.25,31.25,0.25,1000,8,67,1,n177,32
31.5,0.25,31.5,0.25,1008,8,64,1,n178,32
31.75,0.25,31.75,0.25,1016,8,67,1,n179,32
32.0,0.25,32.0,0.25,1024,8,52,1,n180,32
32.25,0.25,32.25,0.25,1032,8,55,1,n181,32
32.5,0.25,32.5,0.25,1040,8,60,1,n182,32
32.75,0.25,32.75,0.25,1048,8,64,1,n183,32
33.0,0.25,33.0,0.25,1056,8,67,1,n184,32
33.25,0.25,33.25,0.25,1064,8,72,1,n185,32
33.5,0.25,33.5,0.25,1072,8,76,1,n186,32
33.75,0.25,33.75,0.25,1080,8,79,1,n187,32
34.0,0.25,34.0,0.25,1088,8,53,1,n188,32
34.25,0.25,34.25,0.25,1096,8,57,1,n189,32
34.5,0.25,34.5,0.25,1104,8,60,1,n190,32
34.75,0.25,34.75,0.25,1112,8,65,1,n191,32
35.0,0.25,35.0,0.25,1120,8,69,1,n192,32
35.25,0.25,35.25,0.25,1128,8,72,1,n193,32
35.5,0.25,35.5,0.25,1136,8,77,1,n194,32
35.75,0.25,35.75,0.25,1144,8,81,1,n195,32
36.0,0.25,36.0,0.25,1152,8,81,1,n196,32
36.25,0.25,36.25,0.25,1160,8,79,1,n197,32
36.5,0.5,36.5,0.5,1168,16,55,1,n199,32
36.5,0.5,36.5,0.5,1168,16,60,1,n198,32
36.5,0.25,36.5,0.25,1168,8,77,1,n200,32
36.75,0.25,36.75,0.25,1176,8,76,1,n201,32
37.0,0.5,37.0,0.5,1184,16,55,1,n204,32
37.0,0.5,37.0,0.5,1184,16,59,1,n202,32
37.0,0.25,37.0,0.25,1184,8,76,1,n203,32
37.25,0.25,37.25,0.25,1192,8,74,1,n205,32
37.5,0.5,37.5,0.5,1200,16,55,1,n207,32
37.5,0.5,37.5,0.5,1200,16,62,1,n208,32
37.5,0.25,37.5,0.25,1200,8,76,1,n206,32
37.75,0.25,37.75,0.25,1208,8,77,1,n209,32
38.0,1.0,38.0,1.0,1216,32,56,1,n212,32
38.0,1.0,38.0,1.0,1216,32,62,1,n211,32
38.0,1.0,38.0,1.0,1216,32,77,1,n210,32
39.0,0.5,39.0,0.5,1248,16,57,1,n215,32
39.0,0.5,39.0,0.5,1248,16,60,1,n214,32
39.0,0.5,39.0,0.5,1248,16,76,1,n213,32
40.0,0.25,40.0,0.25,1280,8,52,1,n216,32
40.25,0.25,40.25,0.25,1288,8,55,1,n217,32
40.5,0.25,40.5,0.25,1296,8,60,1,n218,32
40.75,0.25,40.75,0.25,1304,8,64,1,n219,32
41.0,0.25,41.0,0.25,1312,8,67,1,n220,32
41.25,0.25,41.25,0.25,1320,8,72,1,n221,32
41.5,0.25,41.5,0.25,1328,8,76,1,n222,32
41.75,0.25,41.75,0.25,1336,8,79,1,n223,32
42.0,0.25,42.0,0.25,1344,8,53,1,n224,32
42.25,0.25,42.25,0.25,1352,8,57,1,n225,32
42.5,0.25,42.5,0.25,1360,8,60,1,n226,32
42.75,0.25,42.75,0.25,1368,8,65,1,n227,32
43.0,0.25,43.0,0.25,1376,8,69,1,n228,32
43.25,0.25,43.25,0.25,1384,8,72,1,n229,32
43.5,0.25,43.5,0.25,1392,8,77,1,n230,32
43.75,0.25,43.75,0.25,1400,8,81,1,n231,32
44.0,0.25,44.0,0.25,1408,8,81,1,n232,32
44.25,0.25,44.25,0.25,1416,8,79,1,n233,32
44.5,0.5,44.5,0.5,1424,16,55,1,n236,32
44.5,0.5,44.5,0.5,1424,16,60,1,n235,32
44.5,0.25,44.5,0.25,1424,8,77,1,n234,32
44.75,0.25,44.75,0.25,1432,8,76,1,n237,32
45.0,0.5,45.0,0.5,1440,16,55,1,n240,32
45.0,0.5,45.0,0.5,1440,16,59,1,n239,32
45.0,0.25,45.0,0.25,1440,8,76,1,n238,32
45.25,0.25,45.25,0.25,1448,8,74,1,n241,32
45.5,0.5,45.5,0.5,1456,16,55,1,n243,32
45.5,0.5,45.5,0.5,1456,16,65,1,n244,32
45.5,0.25,45.5,0.25,1456,8,72,1,n242,32
45.75,0.25,45.75,0.25,1464,8,71,1,n245,32
46.0,0.25,46.0,0.25,1472,8,60,1,n247,32
46.0,0.25,46.0,0.25,1472,8,64,1,n246,32
46.0,1.0,46.0,1.0,1472,32,72,1,n248,32
46.25,0.25,46.25,0.25,1480,8,60,1,n249,32
46.5,0.25,46.5,0.25,1488,8,59,1,n250,32
46.75,0.25,46.75,0.25,1496,8,60,1,n251,32
47.0,0.25,47.0,0.25,1504,8,47,1,n253,32
47.0,1.5,47.0,1.5,1504,48,67,1,n255,32
47.0,1.5,47.0,1.5,1504,48,70,1,n254,32
47.0,1.5,47.0,1.5,1504,48,76,1,n252,32
47.25,0.25,47.25,0.25,1512,8,48,1,n256,32
47.5,0.25,47.5,0.25,1520,8,47,1,n257,32
47.75,0.25,47.75,0.25,1528,8,48,1,n258,32
48.0,0.5,48.0,0.5,1536,16,36,1,n259,32
48.5,0.5,48.5,0.5,1552,16,69,1,n261,32
48.5,0.5,48.5,0.5,1552,16,77,1,n260,32
49.0,0.5,49.0,0.5,1568,16,65,1,n262,32
49.0,0.5,49.0,0.5,1568,16,69,1,n263,32
49.5,0.5,49.5,0.5,1584,16,62,1,n265,32
49.5,0.5,49.5,0.5,1584,16,71,1,n264,32
50.0,0.25,50.0,0.25,1600,8,59,1,n270,32
50.0,1.0,50.0,1.0,1600,32,64,1,n272,32
50.0,1.0,50.0,1.0,1600,32,72,1,n271,32
50.25,0.25,50.25,0.25,1608,8,60,1,n273,32
50.5,0.25,50.5,0.25,1616,8,59,1,n274,32
50.75,0.25,50.75,0.25,1624,8,60,1,n275,32
51.0,0.25,51.0,0.25,1632,8,47,1,n277,32
51.0,1.5,51.0,1.5,1632,48,67,1,n279,32
51.0,1.5,51.0,1.5,1632,48,70,1,n278,32
51.0,1.5,51.0,1.5,1632,48,76,1,n276,32
51.25,0.25,51.25,0.25,1640,8,48,1,n280,32
51.5,0.25,51.5,0.25,1648,8,47,1,n282,32
51.75,0.25,51.75,0.25,1656,8,48,1,n283,32
52.0,0.5,52.0,0.5,1664,16,36,1,n284,32
52.5,0.5,52.5,0.5,1680,16,69,1,n286,32
52.5,0.5,52.5,0.5,1680,16,77,1,n285,32
53.0,0.5,53.0,0.5,1696,16,65,1,n288,32
53.0,0.5,53.0,0.5,1696,16,69,1,n287,32
53.5,0.5,53.5,0.5,1712,16,62,1,n290,32
53.5,0.5,53.5,0.5,1712,16,71,1,n289,32
54.0,0.5,54.0,0.5,1728,16,64,1,n294,32
54.0,0.25,54.0,0.25,1728,8,72,1,n293,32
54.25,0.25,54.25,0.25,1736,8,71,1,n297,32
54.5,0.5,54.5,0.5,1744,16,55,1,n298,32
54.5,0.25,54.5,0.25,1744,8,72,1,n299,32
54.75,0.25,54.75,0.25,1752,8,76,1,n300,32
55.0,0.5,55.0,0.5,1760,16,59,1,n302,32
55.0,0.25,55.0,0.25,1760,8,74,1,n301,32
55.25,0.25,55.25,0.25,1768,8,72,1,n305,32
55.5,0.5,55.5,0.5,1776,16,55,1,n306,32
55.5,0.25,55.5,0.25,1776,8,74,1,n307,32
55.75,0.25,55.75,0.25,1784,8,77,1,n308,32
56.0,0.5,56.0,0.5,1792,16,60,1,n310,32
56.0,0.25,56.0,0.25,1792,8,76,1,n309,32
56.25,0.25,56.25,0.25,1800,8,74,1,n313,32
56.5,0.5,56.5,0.5,1808,16,55,1,n314,32
56.5,0.25,56.5,0.25,1808,8,76,1,n315,32
56.75,0.25,56.75,0.25,1816,8,79,1,n316,32
57.0,0.5,57.0,0.5,1824,16,62,1,n318,32
57.0,0.25,57.0,0.25,1824,8,77,1,n317,32
57.25,0.25,57.25,0.25,1832,8,76,1,n321,32
57.5,0.5,57.5,0.5,1840,16,55,1,n322,32
57.5,0.25,57.5,0.25,1840,8,77,1,n323,32
57.75,0.25,57.75,0.25,1848,8,81,1,n324,32
58.0,1.0,58.0,1.0,1856,32,64,1,n325,32
58.0,0.25,58.0,0.25,1856,8,79,1,n326,32
58.25,0.25,58.25,0.25,1864,8,84,1,n327,32
58.5,0.25,58.5,0.25,1872,8,88,1,n328,32
58.75,0.25,58.75,0.25,1880,8,83,1,n329,32
59.0,0.25,59.0,0.25,1888,8,84,1,n330,32
59.25,0.25,59.25,0.25,1896,8,79,1,n331,32
59.5,0.5,59.5,0.5,1904,16,53,1,n334,32
59.5,0.5,59.5,0.5,1904,16,62,1,n332,32
59.5,0.25,59.5,0.25,1904,8,81,1,n333,32
59.75,0.25,59.75,0.25,1912,8,77,1,n335,32
60.0,1.0,60.0,1.0,1920,32,55,1,n337,32
60.0,0.5,60.0,0.5,1920,16,60,1,n338,32
60.0,0.5,60.0,0.5,1920,16,76,1,n336,32
60.5,0.5,60.5,0.5,1936,16,59,1,n341,32
60.5,0.5,60.5,0.5,1936,16,74,1,n342,32
62.0,0.0,62.0,0.0,1984,0,73,1,n343,32
62.0,1.0,62.0,1.0,1984,32,74,1,n344,32
63.0,0.0,63.0,0.0,2016,0,73,1,n345,32
63.0,1.0,63.0,1.0,2016,32,74,1,n346,32
64.0,0.0,64.0,0.0,2048,0,71,1,n347,32
64.0,0.0,64.0,0.0,2048,0,74,1,n348,32
64.0,0.0,64.0,0.0,2048,0,80,1,n349,32
64.0,2.25,64.0,2.25,2048,72,83,1,n350,32
64.25,0.25,64.25,0.25,2056,8,40,1,n351,32
64.5,0.25,64.5,0.25,2064,8,44,1,n352,32
64.75,0.25,64.75,0.25,2072,8,47,1,n353,32
65.0,0.25,65.0,0.25,2080,8,52,1,n354,32
65.25,0.25,65.25,0.25,2088,8,56,1,n355,32
65.5,0.25,65.5,0.25,2096,8,59,1,n356,32
65.75,0.25,65.75,0.25,2104,8,64,1,n357,32
66.0,1.0,66.0,1.0,2112,32,52,1,n358,32
66.25,0.25,66.25,0.25,2120,8,81,1,n359,32
66.5,0.25,66.5,0.25,2128,8,80,1,n360,32
66.75,0.25,66.75,0.25,2136,8,77,1,n361,32
67.0,0.25,67.0,0.25,2144,8,76,1,n362,32
67.25,0.25,67.25,0.25,2152,8,74,1,n363,32
67.5,0.5,67.5,0.5,2160,16,52,1,n366,32
67.5,0.5,67.5,0.5,2160,16,56,1,n365,32
67.5,0.25,67.5,0.25,2160,8,72,1,n364,32
67.75,0.25,67.75,0.25,2168,8,71,1,n367,32
68.0,1.0,68.0,1.0,2176,32,45,1,n370,32
68.0,1.0,68.0,1.0,2176,32,57,1,n369,32
68.0,0.25,68.0,0.25,2176,8,74,1,n368,32
68.25,0.25,68.25,0.25,2184,8,72,1,n371,32
68.5,0.25,68.5,0.25,2192,8,71,1,n372,32
68.75,0.25,68.75,0.25,2200,8,72,1,n373,32
69.0,0.25,69.0,0.25,2208,8,71,1,n374,32
69.25,0.25,69.25,0.25,2216,8,72,1,n375,32
69.5,0.25,69.5,0.25,2224,8,74,1,n376,32
69.75,0.25,69.75,0.25,2232,8,72,1,n377,32
70.0,0.0,70.0,0.0,2240,0,71,1,n378,32
70.0,1.0,70.0,1.0,2240,32,72,1,n379,32
71.0,0.0,71.0,0.0,2272,0,71,1,n380,32
71.0,1.0,71.0,1.0,2272,32,72,1,n381,32
72.0,0.0,72.0,0.0,2304,0,69,1,n382,32
72.0,0.0,72.0,0.0,2304,0,72,1,n383,32
72.0,0.0,72.0,0.0,2304,0,78,1,n384,32
72.0,2.25,72.0,2.25,2304,72,81,1,n385,32
72.25,0.25,72.25,0.25,2312,8,38,1,n386,32
72.5,0.25,72.5,0.25,2320,8,42,1,n387,32
72.75,0.25,72.75,0.25,2328,8,45,1,n388,32
73.0,0.25,73.0,0.25,2336,8,50,1,n389,32
73.25,0.25,73.25,0.25,2344,8,54,1,n390,32
73.5,0.25,73.5,0.25,2352,8,57,1,n391,32
73.75,0.25,73.75,0.25,2360,8,62,1,n392,32
74.0,1.0,74.0,1.0,2368,32,50,1,n393,32
74.25,0.25,74.25,0.25,2376,8,79,1,n394,32
74.5,0.25,74.5,0.25,2384,8,78,1,n395,32
74.75,0.25,74.75,0.25,2392,8,76,1,n396,32
75.0,0.25,75.0,0.25,2400,8,74,1,n397,32
75.25,0.25,75.25,0.25,2408,8,72,1,n398,32
75.5,0.5,75.5,0.5,2416,16,50,1,n401,32
75.5,0.5,75.5,0.5,2416,16,54,1,n400,32
75.5,0.25,75.5,0.25,2416,8,71,1,n399,32
75.75,0.25,75.75,0.25,2424,8,69,1,n402,32
76.0,0.25,76.0,0.25,2432,8,55,1,n404,32
76.0,1.0,76.0,1.0,2432,32,71,1,n403,32
76.25,0.25,76.25,0.25,2440,8,67,1,n405,32
76.5,0.25,76.5,0.25,2448,8,66,1,n406,32
76.75,0.25,76.75,0.25,2456,8,67,1,n407,32
77.0,0.25,77.0,0.25,2464,8,59,1,n408,32
77.0,0.5,77.0,0.5,2464,16,74,1,n409,32
77.25,0.25,77.25,0.25,2472,8,67,1,n410,32
77.5,0.25,77.5,0.25,2480,8,66,1,n412,32
77.5,0.5,77.5,0.5,2480,16,74,1,n411,32
77.75,0.25,77.75,0.25,2488,8,67,1,n413,32
78.0,0.25,78.0,0.25,2496,8,60,1,n415,32
78.0,0.75,78.0,0.75,2496,24,76,1,n414,32
78.25,0.25,78.25,0.25,2504,8,67,1,n416,32
78.5,0.25,78.5,0.25,2512,8,66,1,n417,32
78.75,0.25,78.75,0.25,2520,8,67,1,n418,32
78.75,0.25,78.75,0.25,2520,8,78,1,n419,32
79.0,0.25,79.0,0.25,2528,8,60,1,n421,32
79.0,0.25,79.0,0.25,2528,8,81,1,n420,32
79.25,0.25,79.25,0.25,2536,8,67,1,n422,32
79.25,0.25,79.25,0.25,2536,8,79,1,n423,32
79.5,0.25,79.5,0.25,2544,8,66,1,n425,32
79.5,0.25,79.5,0.25,2544,8,78,1,n424,32
79.75,0.25,79.75,0.25,2552,8,67,1,n426,32
79.75,0.25,79.75,0.25,2552,8,76,1,n427,32
80.0,0.25,80.0,0.25,2560,8,59,1,n429,32
80.0,0.5,80.0,0.5,2560,16,74,1,n428,32
80.25,0.25,80.25,0.25,2568,8,67,1,n430,32
80.5,0.25,80.5,0.25,2576,8,66,1,n431,32
80.75,0.25,80.75,0.25,2584,8,67,1,n432,32
81.0,0.25,81.0,0.25,2592,8,55,1,n433,32
81.0,0.25,81.0,0.25,2592,8,74,1,n434,32
81.25,0.25,81.25,0.25,2600,8,67,1,n435,32
81.25,0.25,81.25,0.25,2600,8,71,1,n436,32
81.5,0.25,81.5,0.25,2608,8,66,1,n438,32
81.5,0.25,81.5,0.25,2608,8,74,1,n437,32
81.75,0.25,81.75,0.25,2616,8,67,1,n440,32
81.75,0.25,81.75,0.25,2616,8,71,1,n439,32
82.0,0.25,82.0,0.25,2624,8,60,1,n442,32
82.0,0.75,82.0,0.75,2624,24,76,1,n441,32
82.25,0.25,82.25,0.25,2632,8,67,1,n443,32
82.5,0.25,82.5,0.25,2640,8,66,1,n444,32
82.75,0.25,82.75,0.25,2648,8,67,1,n446,32
82.75,0.25,82.75,0.25,2648,8,78,1,n445,32
83.0,0.25,83.0,0.25,2656,8,60,1,n448,32
83.0,0.25,83.0,0.25,2656,8,81,1,n447,32
83.25,0.25,83.25,0.25,2664,8,67,1,n450,32
83.25,0.25,83.25,0.25,2664,8,79,1,n449,32
83.5,0.25,83.5,0.25,2672,8,66,1,n452,32
83.5,0.25,83.5,0.25,2672,8,78,1,n451,32
83.75,0.25,83.75,0.25,2680,8,67,1,n454,32
83.75,0.25,83.75,0.25,2680,8,76,1,n453,32
84.0,1.0,84.0,1.0,2688,32,59,1,n456,32
84.0,0.5,84.0,0.5,2688,16,74,1,n455,32
84.5,0.25,84.5,0.25,2704,8,83,1,n457,32
84.75,0.25,84.75,0.25,2712,8,81,1,n458,32
85.0,0.25,85.0,0.25,2720,8,79,1,n459,32
85.25,0.25,85.25,0.25,2728,8,78,1,n460,32
85.5,0.5,85.5,0.5,2736,16,68,1,n462,32
85.5,0.25,85.5,0.25,2736,8,76,1,n461,32
85.75,0.25,85.75,0.25,2744,8,74,1,n463,32
86.0,1.0,86.0,1.0,2752,32,69,1,n465,32
86.0,0.5,86.0,0.5,2752,16,72,1,n464,32
86.5,0.25,86.5,0.25,2768,8,81,1,n468,32
86.75,0.25,86.75,0.25,2776,8,79,1,n469,32
87.0,0.25,87.0,0.25,2784,8,78,1,n470,32
87.25,0.25,87.25,0.25,2792,8,76,1,n471,32
87.5,0.5,87.5,0.5,2800,16,66,1,n473,32
87.5,0.25,87.5,0.25,2800,8,74,1,n472,32
87.75,0.25,87.75,0.25,2808,8,72,1,n474,32
88.0,1.0,88.0,1.0,2816,32,67,1,n476,32
88.0,0.5,88.0,0.5,2816,16,71,1,n475,32
88.5,0.25,88.5,0.25,2832,8,79,1,n479,32
88.75,0.25,88.75,0.25,2840,8,78,1,n480,32
89.0,0.25,89.0,0.25,2848,8,76,1,n481,32
89.25,0.25,89.25,0.25,2856,8,74,1,n482,32
89.5,0.5,89.5,0.5,2864,16,64,1,n484,32
89.5,0.25,89.5,0.25,2864,8,72,1,n483,32
89.75,0.25,89.75,0.25,2872,8,71,1,n485,32
90.0,1.0,90.0,1.0,2880,32,60,1,n487,32
90.0,0.5,90.0,0.5,2880,16,69,1,n486,32
90.5,0.25,90.5,0.25,2896,8,76,1,n490,32
90.75,0.25,90.75,0.25,2904,8,74,1,n491,32
91.0,0.25,91.0,0.25,2912,8,72,1,n492,32
91.25,0.25,91.25,0.25,2920,8,71,1,n493,32
91.5,0.5,91.5,0.5,2928,16,61,1,n495,32
91.5,0.25,91.5,0.25,2928,8,69,1,n494,32
91.75,0.25,91.75,0.25,2936,8,67,1,n496,32
92.0,1.0,92.0,1.0,2944,32,62,1,n497,32
92.0,0.25,92.0,0.25,2944,8,66,1,n498,32
92.25,0.25,92.25,0.25,2952,8,74,1,n499,32
92.5,0.25,92.5,0.25,2960,8,83,1,n500,32
92.75,0.25,92.75,0.25,2968,8,81,1,n501,32
